TEMPO_SWATH_POINT product,TEMPO_SWATH_POINT start time,TEMPO_SWATH_POINT end time,TEMPO_SWATH_POINT duration,TEMPO_SWATH_POINT product type,TEMPO_SWATH_POINT product path,(bl lat. bl lon),(tl lat. tl lon),(tr lat. tr lon),(br lat. br lon),segment_id
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2000000__+1200000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2000000__+1200000__V202.nc,(-68.77002716064453. 59.0362434387207),(-68.298583984375. 56.976131439208984),(-67.54878234863281. 58.24052047729492),(-68.00263977050781. 60.25511932373047),494
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+1900000__+1600000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+1900000__+1600000__V202.nc,(-67.42350006103516. 49.89909362792969),(-66.84291076660156. 48.17982864379883),(-66.1768798828125. 49.63546371459961),(-66.73906707763672. 51.34019088745117),495
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2000000__+100000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2000000__+100000___V202.nc,(-71.72007751464844. 87.1375961303711),(-71.65293884277344. 84.2894058227539),(-70.7603988647461. 84.5596694946289),(-70.82420349121094. 87.27368927001953),496
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2000000__+1000000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2000000__+1000000__V202.nc,(-69.62866973876953. 63.4349479675293),(-69.21405792236328. 61.189205169677734),(-68.42945098876953. 62.35402297973633),(-68.8273696899414. 64.53665161132812),497
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2000000__+1500000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2000000__+1500000__V202.nc,(-67.28124237060547. 53.130104064941406),(-66.73906707763672. 51.34019088745117),(-66.04280090332031. 52.69605255126953),(-66.56712341308594. 54.46232223510742),498
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-600000___+700000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-600000___+700000___V202.nc,(-81.52947998046875. -40.601295471191406),(-80.81526184082031. -36.869895935058594),(-81.33318328857422. -32.0053825378418),(-82.09477233886719. -35.53767776489258),499
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2000000__+1100000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2000000__+1100000__V202.nc,(-69.21405792236328. 61.189205169677734),(-68.77002716064453. 59.0362434387207),(-68.00263977050781. 60.25511932373047),(-68.42945098876953. 62.35402297973633),500
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-600000___-1300000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-600000___-1300000__V202.nc,(-76.8777084350586. -155.224853515625),(-77.69757080078125. -153.43495178222656),(-78.07672119140625. -157.38014221191406),(-77.23175811767578. -158.96249389648438),501
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2000000__+1400000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2000000__+1400000__V202.nc,(-67.80168914794922. 55.00798034667969),(-67.28124237060547. 53.130104064941406),(-66.56712341308594. 54.46232223510742),(-67.06968688964844. 56.309932708740234),502
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2000000__+1300000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2000000__+1300000__V202.nc,(-68.298583984375. 56.976131439208984),(-67.80168914794922. 55.00798034667969),(-67.06968688964844. 56.309932708740234),(-67.54878234863281. 58.24052047729492),503
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-600000___-1200000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-600000___-1200000__V202.nc,(-77.69757080078125. -153.43495178222656),(-78.5050048828125. -151.38954162597656),(-78.91250610351562. -155.55604553222656),(-78.07672119140625. -157.38014221191406),504
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-600000___-1000000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-600000___-1000000__V202.nc,(-79.29676055908203. -149.03623962402344),(-80.06865692138672. -146.3099365234375),(-80.5448989868164. -150.9453887939453),(-79.73641967773438. -153.43495178222656),505
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-600000___-1100000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-600000___-1100000__V202.nc,(-78.5050048828125. -151.38954162597656),(-79.29676055908203. -149.03623962402344),(-79.73641967773438. -153.43495178222656),(-78.91250610351562. -155.55604553222656),506
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2000000__+1600000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2000000__+1600000__V202.nc,(-66.73906707763672. 51.34019088745117),(-66.1768798828125. 49.63546371459961),(-65.49834442138672. 51.00900650024414),(-66.04280090332031. 52.69605255126953),507
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1500000__-900000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1500000__-900000___V202.nc,(-74.00074768066406. -120.96375274658203),(-74.4461441040039. -118.0724868774414),(-75.23844146728516. -119.74488067626953),(-74.76876831054688. -122.7352294921875),508
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1500000__-700000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1500000__-700000___V202.nc,(-74.85054779052734. -115.01689147949219),(-75.21038818359375. -111.80140686035156),(-76.0479736328125. -113.19859313964844),(-75.66619873046875. -116.56504821777344),509
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-2000000__+600000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-2000000__+600000___V202.nc,(-70.9524917602539. -73.3007583618164),(-70.6756820678711. -70.70995330810547),(-71.51943969726562. -69.77513885498047),(-71.81000518798828. -72.47443389892578),510
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1600000__+400000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1600000__+400000___V202.nc,(-74.90532684326172. -75.96375274658203),(-74.66043853759766. -72.6459732055664),(-75.52215576171875. -71.56504821777344),(-75.78253173828125. -75.0685806274414),511
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1500000__-800000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1500000__-800000___V202.nc,(-74.4461441040039. -118.0724868774414),(-74.85054779052734. -115.01689147949219),(-75.66619873046875. -116.56504821777344),(-75.23844146728516. -119.74488067626953),512
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1600000__+800000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1600000__+800000___V202.nc,(-73.64350128173828. -63.4349479675293),(-73.22044372558594. -60.64224624633789),(-74.00074768066406. -59.0362434387207),(-74.4461441040039. -61.927513122558594),513
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1600000__+900000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1600000__+900000___V202.nc,(-73.22044372558594. -60.64224624633789),(-72.76055908203125. -57.9946174621582),(-73.51788330078125. -56.309932708740234),(-74.00074768066406. -59.0362434387207),514
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2000000__-1600000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2000000__-1600000__V202.nc,(-66.73906707763672. 128.65980529785156),(-67.28124237060547. 126.8698959350586),(-66.56712341308594. 125.53768157958984),(-66.04280090332031. 127.30394744873047),515
CS_OFFL_THEM_POINT_ANTARCPER_2022_01_-800000___-1200000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCPER/CS_OFFL_THEM_POINT_ANTARCPER_2022_01_-800000___-1200000__V202.nc,(-76.78285217285156. -146.3099365234375),(-77.5291519165039. -143.97262573242188),(-78.04174041748047. -147.52880859375),(-77.26444244384766. -149.74356079101562),516
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1500000__-500000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1500000__-500000___V202.nc,(-75.52215576171875. -108.43495178222656),(-75.78253173828125. -104.9314193725586),(-76.65745544433594. -105.94539642333984),(-76.37969207763672. -109.65382385253906),517
CS_OFFL_THEM_POINT_ANTARCPER_2022_01_-700000___-1300000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCPER/CS_OFFL_THEM_POINT_ANTARCPER_2022_01_-700000___-1300000__V202.nc,(-76.47162628173828. -151.69924926757812),(-77.26444244384766. -149.74356079101562),(-77.69757080078125. -153.43495178222656),(-76.8777084350586. -155.224853515625),518
CS_OFFL_THEM_POINT_ANTARCPER_2022_01_-900000___-1400000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCPER/CS_OFFL_THEM_POINT_ANTARCPER_2022_01_-900000___-1400000__V202.nc,(-74.76876831054688. -147.2647705078125),(-75.52215576171875. -145.30484008789062),(-76.01821899414062. -148.3925018310547),(-75.23844146728516. -150.25511169433594),519
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1600000__+200000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1600000__+200000___V202.nc,(-75.23844146728516. -82.87498474121094),(-75.09870147705078. -79.3803482055664),(-75.98853302001953. -78.69007110595703),(-76.13762664794922. -82.40535736083984),520
CS_OFFL_THEM_POINT_ANTARCPER_2022_01_-800000___-1300000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCPER/CS_OFFL_THEM_POINT_ANTARCPER_2022_01_-800000___-1300000__V202.nc,(-76.01821899414062. -148.3925018310547),(-76.78285217285156. -146.3099365234375),(-77.26444244384766. -149.74356079101562),(-76.47162628173828. -151.69924926757812),521
CS_OFFL_THEM_POINT_ANTARCPER_2022_01_-900000___-1300000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCPER/CS_OFFL_THEM_POINT_ANTARCPER_2022_01_-900000___-1300000__V202.nc,(-75.52215576171875. -145.30484008789062),(-76.25810241699219. -143.13009643554688),(-76.78285217285156. -146.3099365234375),(-76.01821899414062. -148.3925018310547),522
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1600000__+100000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1600000__+100000___V202.nc,(-75.32295989990234. -86.42366790771484),(-75.23844146728516. -82.87498474121094),(-76.13762664794922. -82.40535736083984),(-76.2278823852539. -86.18592834472656),523
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1500000__-600000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1500000__-600000___V202.nc,(-75.21038818359375. -111.80140686035156),(-75.52215576171875. -108.43495178222656),(-76.37969207763672. -109.65382385253906),(-76.0479736328125. -113.19859313964844),524
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+0________+1700000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+0________+1700000__V202.nc,(-74.4461441040039. 0.0),(-73.54292297363281. 0.0),(-73.51788330078125. 3.1798300743103027),(-74.4195785522461. 3.3664605617523193),525
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1600000__+700000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1600000__+700000___V202.nc,(-74.0265884399414. -66.37062072753906),(-73.64350128173828. -63.4349479675293),(-74.4461441040039. -61.927513122558594),(-74.85054779052734. -64.98310852050781),526
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1500000__-400000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1500000__-400000___V202.nc,(-75.78253173828125. -104.9314193725586),(-75.98853302001953. -101.30992889404297),(-76.8777084350586. -102.09475708007812),(-76.65745544433594. -105.94539642333984),527
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1600000__+300000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1600000__+300000___V202.nc,(-75.09870147705078. -79.3803482055664),(-74.90532684326172. -75.96375274658203),(-75.78253173828125. -75.0685806274414),(-75.98853302001953. -78.69007110595703),528
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1600000__+0________V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1600000__+0________V202.nc,(-75.35124206542969. -90.0),(-75.32295989990234. -86.42366790771484),(-76.2278823852539. -86.18592834472656),(-76.25810241699219. -90.0),529
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+0________+2100000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+0________+2100000__V202.nc,(-70.84552001953125. 0.0),(-69.95079803466797. 0.0),(-69.93050384521484. 2.602562189102173),(-70.82420349121094. 2.726310968399048),530
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2000000__-200000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2000000__-200000___V202.nc,(-71.65293884277344. 95.7105941772461),(-71.72007751464844. 92.8624038696289),(-70.82420349121094. 92.72631072998047),(-70.7603988647461. 95.4403305053711),531
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2000000__-1100000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2000000__-1100000__V202.nc,(-69.21405792236328. 118.810791015625),(-69.62866973876953. 116.56504821777344),(-68.8273696899414. 115.46334838867188),(-68.42945098876953. 117.6459732055664),532
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2100000__+400000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2100000__+400000___V202.nc,(-70.50743865966797. 79.21570587158203),(-70.32000732421875. 76.60750579833984),(-69.44986724853516. 77.19573211669922),(-69.62866973876953. 79.69515228271484),533
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+200000___+2000000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+200000___+2000000__V202.nc,(-71.65293884277344. 5.710593223571777),(-70.7603988647461. 5.440331935882568),(-70.6545639038086. 8.130102157592773),(-71.54161834716797. 8.530765533447266),534
CS_OFFL_THEM_POINT_SOUTHANDE_2022_01_-72812334_-45089802_V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/SOUTHANDE/CS_OFFL_THEM_POINT_SOUTHANDE_2022_01_-72812334_-45089802_V202.nc,(-45.08980178833008. -72.81233215332031),(-44.1915168762207. -72.75387573242188),(-44.22578430175781. -71.50406646728516),(-45.125152587890625. -71.54312133789062),535
CS_OFFL_THEM_POINT_SOUTHANDE_2022_01_-72873606_-45987883_V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/SOUTHANDE/CS_OFFL_THEM_POINT_SOUTHANDE_2022_01_-72873606_-45987883_V202.nc,(-45.987884521484375. -72.87360382080078),(-45.08980178833008. -72.81233215332031),(-45.12515640258789. -71.54312133789062),(-46.02435302734375. -71.58406829833984),536
CS_OFFL_THEM_POINT_SOUTHANDE_2022_01_-73310793_-51371839_V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/SOUTHANDE/CS_OFFL_THEM_POINT_SOUTHANDE_2022_01_-73310793_-51371839_V202.nc,(-51.3718376159668. -73.310791015625),(-50.475074768066406. -73.22856140136719),(-50.51774215698242. -71.8213119506836),(-51.4158821105957. -71.87628936767578),537
CS_OFFL_THEM_POINT_SOUTHANDE_2022_01_-72498726_-39697157_V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/SOUTHANDE/CS_OFFL_THEM_POINT_SOUTHANDE_2022_01_-72498726_-39697157_V202.nc,(-39.69715881347656. -72.49872589111328),(-38.79772186279297. -72.45426177978516),(-38.82609176635742. -71.30392456054688),(-39.726444244384766. -71.3336181640625),538
CS_OFFL_THEM_POINT_SOUTHANDE_2022_01_-72698072_-43293032_V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/SOUTHANDE/CS_OFFL_THEM_POINT_SOUTHANDE_2022_01_-72698072_-43293032_V202.nc,(-43.293033599853516. -72.69807434082031),(-42.39434814453125. -72.64478302001953),(-42.42654037475586. -71.43118286132812),(-43.32624816894531. -71.46678161621094),539
CS_OFFL_THEM_POINT_SOUTHANDE_2022_01_-71431183_-42426542_V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/SOUTHANDE/CS_OFFL_THEM_POINT_SOUTHANDE_2022_01_-71431183_-42426542_V202.nc,(-42.42654037475586. -71.43118286132812),(-41.52667236328125. -71.39717864990234),(-41.545413970947266. -70.19896697998047),(-42.44588088989258. -70.21598815917969),540
CS_OFFL_THEM_POINT_SOUTHANDE_2022_01_-75900409_-49446313_V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/SOUTHANDE/CS_OFFL_THEM_POINT_SOUTHANDE_2022_01_-75900409_-49446313_V202.nc,(-49.446311950683594. -75.90040588378906),(-48.553157806396484. -75.77753448486328),(-48.624900817871094. -74.42916107177734),(-49.52033615112305. -74.52792358398438),541
CS_OFFL_THEM_POINT_SOUTHANDE_2022_01_-74335129_-47729179_V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/SOUTHANDE/CS_OFFL_THEM_POINT_SOUTHANDE_2022_01_-74335129_-47729179_V202.nc,(-47.72917938232422. -74.33512878417969),(-46.83318328857422. -74.24555206298828),(-46.8857536315918. -72.93785858154297),(-47.78341293334961. -73.0052719116211),542
CS_OFFL_THEM_POINT_SOUTHANDE_2022_01_-76165343_-51231477_V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/SOUTHANDE/CS_OFFL_THEM_POINT_SOUTHANDE_2022_01_-76165343_-51231477_V202.nc,(-51.231475830078125. -76.16534423828125),(-50.33909225463867. -76.029541015625),(-50.41548156738281. -74.6317367553711),(-51.31032180786133. -74.7409439086914),543
CS_OFFL_THEM_POINT_SOUTHANDE_2022_01_-70564766_-55036749_V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/SOUTHANDE/CS_OFFL_THEM_POINT_SOUTHANDE_2022_01_-70564766_-55036749_V202.nc,(-55.03675079345703. -70.56476593017578),(-54.13837432861328. -70.53070068359375),(-54.14810562133789. -69.0),(-55.04680633544922. -69.0),544
CS_OFFL_THEM_POINT_SOUTHANDE_2022_01_-70600783_-55934977_V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/SOUTHANDE/CS_OFFL_THEM_POINT_SOUTHANDE_2022_01_-70600783_-55934977_V202.nc,(-55.93497848510742. -70.60078430175781),(-55.03675079345703. -70.56476593017578),(-55.04680633544922. -69.0),(-55.945377349853516. -69.0),545
CS_OFFL_THEM_POINT_SOUTHANDE_2022_01_-72059594_-54109207_V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/SOUTHANDE/CS_OFFL_THEM_POINT_SOUTHANDE_2022_01_-72059594_-54109207_V202.nc,(-54.10920715332031. -72.0595932006836),(-53.21162033081055. -71.9952163696289),(-53.23984909057617. -70.49845123291016),(-54.13837432861328. -70.53070068359375),546
CS_OFFL_THEM_POINT_SOUTHANDE_2022_01_-72127583_-55006605_V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/SOUTHANDE/CS_OFFL_THEM_POINT_SOUTHANDE_2022_01_-72127583_-55006605_V202.nc,(-55.0066032409668. -72.1275863647461),(-54.10920715332031. -72.0595932006836),(-54.13837432861328. -70.53070068359375),(-55.03675079345703. -70.56476593017578),547
CS_OFFL_THEM_POINT_SOUTHANDE_2022_01_-72454265_-38797722_V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/SOUTHANDE/CS_OFFL_THEM_POINT_SOUTHANDE_2022_01_-72454265_-38797722_V202.nc,(-38.79772186279297. -72.45426177978516),(-37.89810562133789. -72.4117431640625),(-37.92558288574219. -71.27552795410156),(-38.82609176635742. -71.30392456054688),548
