TEMPO_SWATH_POINT product,TEMPO_SWATH_POINT start time,TEMPO_SWATH_POINT end time,TEMPO_SWATH_POINT duration,TEMPO_SWATH_POINT product type,TEMPO_SWATH_POINT product path,(bl lat. bl lon),(tl lat. tl lon),(tr lat. tr lon),(br lat. br lon),segment_id
CS_OFFL_THEM_POINT_GREENLAND_2021_12_-500000___-1100000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/GREENLAND/CS_OFFL_THEM_POINT_GREENLAND_2021_12_-500000___-1100000__V202.nc,(78.87943267822266. -69.44395446777344),(79.70577239990234. -71.56504821777344),(80.08145141601562. -66.80140686035156),(79.22563934326172. -64.98310852050781),3043
CS_OFFL_THEM_POINT_SVALBARD__2021_12_+1100000__-500000___V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/SVALBARD/CS_OFFL_THEM_POINT_SVALBARD__2021_12_+1100000__-500000___V202.nc,(78.87943267822266. 20.556045532226562),(79.22563934326172. 25.01689338684082),(78.36181640625. 26.565052032470703),(78.04118347167969. 22.38013458251953),3044
CS_OFFL_THEM_POINT_GREENPERI_2021_12_-100000___-3300000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/GREENPERI/CS_OFFL_THEM_POINT_GREENPERI_2021_12_-100000___-3300000__V202.nc,(60.18699264526367. -46.7357063293457),(61.052490234375. -46.78990936279297),(61.066043853759766. -45.0),(60.2000846862793. -45.0),3045
CS_OFFL_THEM_POINT_ICELAND___2021_12_+1100000__-2600000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/ICELAND/CS_OFFL_THEM_POINT_ICELAND___2021_12_+1100000__-2600000__V202.nc,(64.35841369628906. -22.067899703979492),(65.16707611083984. -21.250505447387695),(64.79876708984375. -19.358993530273438),(64.00299835205078. -20.2248592376709),3046
CS_OFFL_THEM_POINT_SVALBARD__2021_12_+1200000__-700000___V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/SVALBARD/CS_OFFL_THEM_POINT_SVALBARD__2021_12_+1200000__-700000___V202.nc,(77.22652435302734. 14.743562698364258),(77.66091918945312. 18.434947967529297),(76.83865356445312. 20.2248592376709),(76.43138122558594. 16.699243545532227),3047
CS_OFFL_THEM_POINT_GREENLAND_2021_12_-500000___-1200000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/GREENLAND/CS_OFFL_THEM_POINT_GREENLAND_2021_12_-500000___-1200000__V202.nc,(78.04118347167969. -67.61986541748047),(78.87943267822266. -69.44395446777344),(79.22563934326172. -64.98310852050781),(78.36181640625. -63.4349479675293),3048
CS_OFFL_THEM_POINT_GREENPERI_2021_12_-700000___-1300000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/GREENPERI/CS_OFFL_THEM_POINT_GREENPERI_2021_12_-700000___-1300000__V202.nc,(76.43138122558594. -73.3007583618164),(77.22652435302734. -75.25643920898438),(77.66091918945312. -71.56504821777344),(76.83865356445312. -69.77513885498047),3049
CS_OFFL_THEM_POINT_GREENLAND_2021_12_+400000___-2400000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/GREENLAND/CS_OFFL_THEM_POINT_GREENLAND_2021_12_+400000___-2400000__V202.nc,(67.80970764160156. -35.53767776489258),(68.6885757446289. -35.134193420410156),(68.51724243164062. -32.735225677490234),(67.6457290649414. -33.231712341308594),3050
CS_OFFL_THEM_POINT_GREENLAND_2021_12_+400000___-1900000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/GREENLAND/CS_OFFL_THEM_POINT_GREENLAND_2021_12_+400000___-1900000__V202.nc,(72.21452331542969. -33.11134338378906),(73.0970687866211. -32.47119140625),(72.87796020507812. -29.475889205932617),(72.00678253173828. -30.256437301635742),3051
CS_OFFL_THEM_POINT_GREENLAND_2021_12_+400000___-1700000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/GREENLAND/CS_OFFL_THEM_POINT_GREENLAND_2021_12_+400000___-1700000__V202.nc,(73.979248046875. -31.759479522705078),(74.86052703857422. -30.963756561279297),(74.61492919921875. -27.64597511291504),(73.7475814819336. -28.61046028137207),3052
